method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
wachter_style,disease_to_no_disease,128,0.0,1.0,0.018235655530043006,128.0,5
wachter_style,disease_to_no_disease,256,0.0,1.0,0.03207740046998879,256.0,5
wachter_style,disease_to_no_disease,512,0.19,1.0,0.05892738213001394,512.0,5
wachter_style,disease_to_no_disease,1024,0.21,1.0,0.11198890419994313,1024.0,5
wachter_style,no_disease_to_disease,128,0.0,1.0,0.018130655739978466,128.0,5
wachter_style,no_disease_to_disease,256,0.0,1.0,0.03197771059000843,256.0,5
wachter_style,no_disease_to_disease,512,0.03,1.0,0.05937379686002714,512.0,5
wachter_style,no_disease_to_disease,1024,0.08,1.0,0.11286822125000981,1024.0,5
countergan_one_shot,disease_to_no_disease,128,0.0,1.0,0.009377128140022251,128.0,10
countergan_one_shot,disease_to_no_disease,256,0.0,1.0,0.012369195290002608,256.0,10
countergan_one_shot,disease_to_no_disease,512,0.0,1.0,0.018082244890074435,512.0,10
countergan_one_shot,disease_to_no_disease,1024,0.0,1.0,0.02965116667000075,1024.0,10
countergan_one_shot,no_disease_to_disease,128,0.0,1.0,0.00887359078998088,128.0,10
countergan_one_shot,no_disease_to_disease,256,0.0,1.0,0.011131391240023731,256.0,10
countergan_one_shot,no_disease_to_disease,512,0.01,1.0,0.01619253092996587,512.0,10
countergan_one_shot,no_disease_to_disease,1024,0.01,1.0,0.025611560449960963,1024.0,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.05,1.0,0.017924006290004398,128.0,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,0.73,1.95,0.046251070210082616,249.6,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,0.85,2.36,0.053101148430023386,302.08,10
countergan_sparse_diverse_no_dp,disease_to_no_disease,1024,0.89,2.94,0.06563031889999366,376.32,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.21,1.0,0.018792455470074857,128.0,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.43,1.79,0.03588825663000535,229.12,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.58,2.76,0.05260662478009181,353.28,10
countergan_sparse_diverse_no_dp,no_disease_to_disease,1024,0.61,4.43,0.0820271493999644,567.04,10
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.020511078859999542,128.0,10
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.03642130957994596,256.0,10
dice_gradient_style,disease_to_no_disease,512,0.03,1.0,0.06752446097994834,512.0,10
