method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
uniform_random,11,256,disease_to_no_disease,0.20199999999999999,0.44,0.04,0.192,0.02,0.04179561747746034,0.617965367965368,0.03362812283872203,0.3221229382665578,0.012950617480028086,256.0
uniform_random,11,256,no_disease_to_disease,0.081,0.16,0.01,0.077,0.01,0.03822365461383015,0.6209463183421517,0.036307980422861874,0.3085899902106939,0.012659404570003972,256.0
uniform_random,11,512,disease_to_no_disease,0.43200000000000005,0.66,0.3,0.41,0.21,0.0544133060470675,0.5875681417348084,0.043769551384629624,0.33979061464996624,0.025925031219985614,512.0
uniform_random,11,512,no_disease_to_disease,0.155,0.23,0.14,0.15,0.1,0.04811666541449402,0.6115942028985508,0.032618916633984314,0.32730195322746114,0.025021682280021197,512.0
uniform_random,11,1024,disease_to_no_disease,0.6759999999999999,0.79,0.57,0.639,0.34,0.06153944721799108,0.5945052798428326,0.05647024868315534,0.35734333080065145,0.056211490909963684,1024.0
uniform_random,11,1024,no_disease_to_disease,0.254,0.42,0.17,0.248,0.15,0.07291297676662604,0.55054379776602,0.046145103073545864,0.36632961749498183,0.05007783712002492,1024.0
wachter_style,11,128,disease_to_no_disease,0.006000000000000001,0.06,0.0,0.006000000000000001,0.0,0.019586515923341114,0.7222222222222223,0.0,0.20899726053997872,0.018235655530043006,128.0
wachter_style,11,128,no_disease_to_disease,0.0030000000000000005,0.03,0.0,0.0030000000000000005,0.0,0.012663550054033598,0.7777777777777778,0.0,0.24772652750410384,0.018130655739978466,128.0
wachter_style,11,256,disease_to_no_disease,0.026000000000000002,0.25,0.0,0.026000000000000002,0.0,0.025755711905658243,0.64,0.001835751086473465,0.2516579525927345,0.03207740046998879,256.0
wachter_style,11,256,no_disease_to_disease,0.013000000000000001,0.1,0.0,0.013000000000000001,0.0,0.02237670896574855,0.6277777777777779,0.0065999127924442295,0.28912106413435545,0.03197771059000843,256.0
wachter_style,11,512,disease_to_no_disease,0.28900000000000003,0.79,0.03,0.287,0.03,0.084981117704058,0.482936507936508,0.047897856210983254,0.3362542997276314,0.05892738213001394,512.0
wachter_style,11,512,no_disease_to_disease,0.09300000000000001,0.31,0.0,0.09300000000000001,0.0,0.08489846342032956,0.4453618364908688,0.04058806478015838,0.3443895356965095,0.05937379686002714,512.0
wachter_style,11,1024,disease_to_no_disease,0.318,0.82,0.03,0.318,0.03,0.09160514153176691,0.4952854131715921,0.05410864890166899,0.3611857662353757,0.11198890419994313,1024.0
wachter_style,11,1024,no_disease_to_disease,0.17800000000000002,0.61,0.0,0.17600000000000002,0.0,0.1072942381877391,0.45255009107468125,0.04658378880532062,0.37870646874692077,0.11286822125000981,1024.0
