direction,method,method_family,candidate_cohort_seed,plaintext_logit,he_logit,abs_logit_error,label_agreement
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,101,-3.543952812886065,-3.543948227712023,4.58517404222647e-06,True
no_disease_to_disease,genetic_cfe,Baseline,101,1.562789249232063,1.5627948899899733,5.640757910319039e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,1.3464823173367595,1.3464874636617168,5.146324957294723e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,1.26229708166683,1.2623027585002327,5.676833402690207e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,5.228139888120314,5.22814672800529,6.839884975740063e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,0.2220023795153132,0.2220079468267643,5.567311451099011e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,2.2717327746976714,2.271738941993577,6.167295905523673e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-7.066790060155592,-7.066786740987557,3.3191680346433827e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-2.3968282575422126,-2.3968236415597293,4.615982483358039e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-2.181365058454798,-2.181360048594675,5.009860122751064e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-4.90545970145645,-4.905455843416357,3.858040092730164e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-13.090970060174637,-13.090967148405438,2.9117691990876438e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,101,-4.072706125112977,-4.072701983113263,4.1419997138802955e-06,True
no_disease_to_disease,genetic_cfe,Baseline,101,9.36739298781169,9.367400307649667,7.319837976638155e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,1.256001381912478,1.2560067477464945,5.3658340164464136e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,1.4181540456621562,1.4181599917296557,5.946067499484897e-06,True
